DATE,STLFSI
2018-05-11,-1.101
2018-05-18,-1.098
2018-05-25,-1.129
2018-06-01,-1.067
2018-06-08,-1.133
2018-06-15,-1.132
2018-06-22,-1.126
2018-06-29,-1.062
2018-07-06,-1.103
2018-07-13,-1.167
2018-07-20,-1.206
2018-07-27,-1.196
2018-08-03,-1.203
2018-08-10,-1.255
2018-08-17,-1.231
2018-08-24,-1.295
2018-08-31,-1.302
2018-09-07,-1.262
2018-09-14,-1.291
2018-09-21,-1.302
2018-09-28,-1.294
2018-10-05,-1.262
2018-10-12,-1.108
